age,gender,academic_performance,study_hours,sleep_hours,sleep_quality,physical_activity_hours,screen_time_hours,social_interaction_hours,academic_pressure,financial_stress,family_pressure,peer_pressure,time_management,attendance_percentage,assignment_completion,exam_anxiety,mood_score,self_reported_stress,study_sleep_ratio,academic_load_index,stress_level
21,Male,78,5,7,7,1,5,2,5,2,3,3,7,88,85,4,7,4,0.7143,35.6250,Low
20,Female,72,6,6.5,6,0.5,7,1.5,6,3,4,4,5,82,78,6,5,6,0.9231,49.0385,Medium
22,Male,61,8,5,4,0.5,9,1,8,5,6,6,4,74,65,8,4,8,1.6000,67.0833,High
19,Female,88,4,8,9,2,4,3,3,1,2,2,8,94,92,3,9,2,0.5000,25.4167,Low
23,Male,68,7,6,5,1,8,1.5,7,4,5,5,5,79,72,7,5,7,1.1667,57.4583,Medium
21,Female,55,9,5,3,0.25,10,1,9,6,7,7,3,68,58,9,3,9,1.8000,75.8333,High
20,Male,81,5.5,7.5,8,1.5,5,2.5,4,2,2,3,8,91,88,4,8,3,0.7333,31.0417,Low
22,Female,65,7,6,6,1,8,2,6,4,5,4,6,80,75,6,6,6,1.1667,53.1250,Medium
24,Male,48,10,4.5,2,0,11,0.5,10,7,8,8,2,61,45,10,2,10,2.2222,86.4583,High
19,Male,91,3.5,8,9,2.5,3.5,4,2,1,1,2,9,97,95,2,9,2,0.4375,19.7917,Low
21,Female,75,6,7,7,1,6,2.5,5,2,3,4,7,86,84,5,7,4,0.8571,40.2083,Low
23,Female,59,8.5,5.5,4,0.5,9,1,8,5,6,7,4,70,62,8,4,8,1.5455,68.0208,High
22,Male,70,6.5,6.5,6,1,7,2,6,3,4,5,6,83,77,6,6,6,1.0000,51.6667,Medium
20,Female,84,4.5,7.5,8,2,4.5,3,3,1,2,2,8,93,90,3,8,3,0.6000,28.1250,Low
25,Male,52,9,5,3,0.5,10,1,9,8,7,8,3,65,55,9,3,9,1.8000,78.9583,High
21,Female,69,7,6.5,5,1,7.5,2,7,4,5,5,5,76,70,7,5,7,1.0769,58.5417,Medium
19,Male,87,4,8.5,9,2,3,4,3,1,1,2,9,96,94,2,9,2,0.4706,19.7917,Low
22,Female,63,7.5,6,5,0.5,8.5,1.5,7,5,6,5,4,72,68,7,5,7,1.2500,60.2083,Medium
24,Male,57,8.5,5,4,0.25,9.5,1,8,6,7,7,3,67,60,8,4,8,1.7000,71.4583,High
20,Female,79,5,7,8,1.5,5.5,3,4,2,3,3,8,89,86,4,8,3,0.7143,33.5417,Low
